Ref,Val,Package,PosX,PosY,Rot,Side
"RSW1","SW_Push","ResetSW",175.925000,-114.890000,90.000000,bottom
"SW2","SW_SPDT","SPDT_C128955r",182.857195,-118.912129,90.000000,bottom
